title,title_tokens,title_total,abstract_count,abstract_relative,abstract_tokens,sent_0_count,sent_1_count,sent_2_count,sent_3_count,sent_4_count,sent_5_count,sent_6_count,sent_7_count,sent_8_count,sent_9_count
Electroweak Theory with a Minimal Length,"['minimal', 'length', 'electroweak', 'theory']",4,4,1.0,"['minimal', 'length', 'electroweak', 'theory']",0.5,0.5,0.5,0.5,0.0,0.0,-,-,-,-
"Local Factors, Reciprocity and Vinberg Monoids","['reciprocity', 'local', 'factors', 'monoids', 'vinberg']",5,4,0.8,"['local', 'factors', 'monoids', 'vinberg']",0.4,0.4,-,-,-,-,-,-,-,-
Measurement of CP violation in Bs --> J/psi phi decay,"['bs', 'violation', 'cp', 'j/psi', '--', 'measurement', 'decay', 'phi']",8,7,0.875,"['bs', 'violation', 'cp', 'j/psi', '--', 'measurement', 'phi']",0.875,0.0,-,-,-,-,-,-,-,-
PAAI in the sky : towards a particulate mechanism for Dark Energy and  concordant Dark Matter,"['particulate', 'concordant', 'matter', 'dark', 'energy', 'sky', 'paai', 'mechanism', 'towards']",9,3,0.3333333333333333,"['dark', 'energy', 'paai']",0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,-,-,-,-
Cooling in a parametrically driven optomechanical cavity,"['driven', 'cavity', 'cooling', 'optomechanical', 'parametrically']",5,3,0.6,"['driven', 'cooling', 'parametrically']",0.4,0.2,0.0,0.0,0.0,0.0,0.0,-,-,-
Orthogonal Tree Decompositions of Graphs,"['orthogonal', 'decompositions', 'tree', 'graphs']",4,3,0.75,"['decompositions', 'tree', 'graphs']",0.75,0.5,0.5,0.25,0.25,0.0,0.0,-,-,-
Natural gaits of the non-pathological flat foot and high-arched foot,"['flat', 'gaits', 'non-pathological', 'foot', 'high-arched', 'natural']",6,5,0.8333333333333334,"['gaits', 'non-pathological', 'foot', 'high-arched', 'natural']",0.5,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,-,-,-,-
Digital Rights and Freedoms: A Framework for Surveying Users and  Analyzing Policies,"['a', 'policies', 'users', 'surveying', 'rights', 'analyzing', 'freedoms', 'digital', 'framework']",9,3,0.3333333333333333,"['users', 'rights', 'freedoms']",0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,-,-,-,-,-
On the Abundance Problem for $3$-folds in characteristic $p>5$,"['characteristic', '$3$', '-folds', 'problem', 'on', 'abundance', '$p>5$']",7,4,0.5714285714285714,"['characteristic', '$3$', 'abundance', '$p>5$']",0.5714285714285714,-,-,-,-,-,-,-,-,-
Photonic topological phase transition on demand,"['demand', 'topological', 'transition', 'phase', 'photonic']",5,3,0.6,"['topological', 'phase', 'photonic']",0.4,0.4,0.2,0.2,-,-,-,-,-,-
